ID,SMILES,MolecularWeight,LogP,NumHBD,NumHBA,PSA,NumRotatableBonds,QED,NumChiralCenters
JP002421,C=C[C@@H](C)CC[C@@H](O)CC(=O)O,172.2,1.42,2.0,3.0,57.5,6.0,0.6,2.0
JP002419,C[Si](C)(C)OC12CC1C=Cc1ccccc12,230.4,3.78,0.0,1.0,9.2,2.0,0.7,2.0
JP002418,C=CC(=C)CC(O[Si](C)(C)C)(c1ccccc1)c1ccccc1,322.5,5.91,0.0,1.0,9.2,7.0,0.45,0.0
JP002417,C[Si](C)(C)OC1CCCCCCCCCCC1I,382.4,5.92,0.0,1.0,9.2,2.0,0.33,2.0
JP002416,CC(=O)OCC(O[Si](C)(C)C)/C(C)=C/CC=C(C)C,284.5,4.07,0.0,3.0,35.5,7.0,0.4,1.0
JP002415,CC(C)=C(Cc1ccc(C)cc1)O[Si](C)(C)C,248.4,4.68,0.0,1.0,9.2,4.0,0.55,0.0
JP002414,CN(C)N=C1CCCCCCCCCCC1,224.4,4.21,0.0,2.0,15.6,1.0,0.61,0.0
JP002413,C=C=C(C(OC)c1ccccc1)[Si](C)(C)C,232.4,3.96,0.0,1.0,9.2,4.0,0.56,1.0
JP002412,COC(c1ccccc1)C1CCCCC1=O,218.3,3.13,0.0,2.0,26.3,3.0,0.78,2.0
JP002411,C=CCC(/C=C/c1ccccc1)OCC,202.3,3.68,0.0,1.0,9.2,6.0,0.64,1.0
JP002410,C=CC(=C)CC(O)(CC)c1ccccc1,202.3,3.42,1.0,1.0,20.2,5.0,0.73,1.0
JP002409,CC(C)(C)[Si](C)(C)O[Si](C)(C)C(C)(C)C,246.5,5.01,0.0,1.0,9.2,2.0,0.62,0.0
JP002408,COC(CC(C)C)C1CCCCC1=O,198.3,2.81,0.0,2.0,26.3,4.0,0.69,2.0
JP002407,CCCCC(OC)C1CCCCC1=O,198.3,2.95,0.0,2.0,26.3,5.0,0.68,2.0
JP002406,OC1/C=C/CCCCCCCCC1,182.3,3.43,1.0,1.0,20.2,0.0,0.57,1.0
JP002405,CC(=O)OCC1OC1(C)CCC=C(C)C,212.3,2.45,0.0,3.0,38.8,5.0,0.4,2.0
JP002404,C[Si](C)(C)OCC(I)COc1ccccc1,350.3,3.72,0.0,2.0,18.5,6.0,0.44,1.0
JP002403,C[Si](C)(C)[Si](C)(C)Oc1ccccc1,224.5,3.69,0.0,1.0,9.2,3.0,0.71,0.0
JP002402,C=CC(=C)CC(O)(CC)CC,154.3,2.67,1.0,1.0,20.2,5.0,0.6,0.0
JP002401,C=CC(=C)CC(O)C=C(C)C,152.2,2.45,1.0,1.0,20.2,4.0,0.48,1.0
JP002399,C=C(C)C[Si](C)(C)[Si](C)(C)C,186.4,3.69,0.0,0.0,0.0,3.0,0.47,0.0
JP002398,CCC(=C=O)[Si](C)(C)[Si](C)(C)C,200.4,2.82,0.0,1.0,17.1,3.0,0.51,0.0
JP002397,CCCCC(C(=O)O)[Si](C)(C)C,188.3,2.97,1.0,2.0,37.3,5.0,0.67,1.0
JP002396,CCCCC(=C=O)[Si](C)(C)C,170.3,2.81,0.0,1.0,17.1,4.0,0.47,0.0
JP002395,C[Si](C)(C)OC1=CCCC1,156.3,2.91,0.0,1.0,9.2,2.0,0.56,0.0
JP002394,CC(I)C(C)O[Si](C)(C)C,272.2,3.05,0.0,1.0,9.2,3.0,0.44,2.0
JP002393,C/C=C/CO[Si](C)(C)C,144.3,2.41,0.0,1.0,9.2,3.0,0.44,0.0
JP002392,CCC(=C=O)[Si](C)(C)C,142.3,2.03,0.0,1.0,17.1,2.0,0.43,0.0
JP002391,CC12CCCCC1O2,112.2,1.72,0.0,1.0,12.5,0.0,0.43,2.0
JP002388,CC1CC(C[Si](C)(C)C)=CCO1,184.4,3.06,0.0,1.0,9.2,2.0,0.47,1.0
JP002387,CC(=O)[C@H]1CN(Cc2ccccc2)C[C@@H]1c1ccccc1,279.4,3.49,0.0,2.0,20.3,4.0,0.85,2.0
JP002386,CC1CCCC/C1=N\[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,245.4,4.61,0.0,1.0,12.4,1.0,0.64,1.0
